Terms	Palette
Splice_Site	#33A02C
Nonsense_Mutation	#FB9A99
Frame_Shift_Del	#E31A1C
Frame_Shift_Ins	#E31A1C
In_Frame_Ins	#CAB2D6
In_Frame_Del	#6A3D9A
Missense_Mutation	#1F78B4
Splice_Region	#B2DF8A
Intron	#FDBF6F
Nonstop_Mutation	#A6CEE3
Translation_Start_Site	#B15928
Silent	#FDBF6F
RNA	#FDBF6F
5'UTR	#FDBF6F
3'UTR	#FDBF6F
5'Flank	#FDBF6F
3'Flank	#FDBF6F
Targeted_Region	#FDBF6F
IGR	#FDBF6F
